BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
3,"","Santra01_1","Santra, R.; Zobeley, J.; Cederbaum, L. S. & Tarantelli, F.","Intermolecular Coulombic decay of clusters","J. Electron Spectrosc. Relat. Phenom.",114--116,,"","41",2001,"","theory","","","","","The 8th International Conference on Electronic Spectroscopy and Structure: (ICESS8)","Hitchcock, A. P. & Tong Leung, K.","Elsevier","","","","","","","Following inner-valence ionization of a cluster, the system can relax by ultrafast electron emission. In contrast to Auger decay this novel process is intermolecular. It is characterized by an efficient Coulombic energy transfer mechanism between monomers in the cluster.  As an example, we present an analysis of the hydrogen fluoride trimer, based on extensive  <em>ab initio</em> computations.","","","",""
7,"","Santra01_3","Santra, R.; Zobeley, J. & Cederbaum, L. S.","Electronic decay of valence holes in clusters and condensed matter","Phys. Rev. B",64,,"","245104",2001,"","theory","","","","","","","American Physical Society","","","","","","","Following innervalence ionization of a cluster, the system can relax by electron  emission, a phenomenon called intermolecular Coulombic decay. This process is characterized  by an efficient energy transfer mechanism between neighboring monomers in the cluster.  A theoretical description within the framework of Wigner-Weisskopf theory is developed,  thus enabling a detailed analysis of the decay process. The main result of the formal  treatment, a simple, approximate expression for the electronic decay width of an innervalence  hole state, is applied to investigate the effect of cluster size. On the basis of extensive ab  initio calculations, pronounced size effects are found in the concrete example of neon clusters.  The decay lifetime decreases in a monotonic fashion from hundred femtoseconds in Ne<sub>2</sub> down to  less than ten femtoseconds in Ne<sub>13</sub>. Suggestions are made how to facilitate the experimental  observation of intermolecular Coulombic decay in clusters and condensed matter.","","","",""
7,"","Mueller02","Müller, I. B.; Zobeley, J. & Cederbaum, L. S.","Comparison of electronic decay of valence ionized fluorinated carbanions and their acids","J. Chem. Phys.",117,,"","1085",2002,"","theory","","","","","","","AIP","","","","","","","The ionization and double-ionization spectra of fluorinated carbanions of various  chain lengths are compared with those of their corresponding acids. For the acidic systems we  find a dramatic relative shift of the double-ionization spectra to higher energies due to the  presence of just one additional proton. The impact of the proton on the ionization spectra is  also important, but results in only half of the double-ionization spectra's shift. A molecular  electronic decay mechanism is found to be operative in the valence region of the molecules under  investigation. The impact of this decay is more substantial for the anions. The threshold for  electronic decay (i.e., the first double-ionization potential) is at much lower energy for the  anions than for the acids. Interestingly, the localization pattern of the holes in the decay  channels is, in contrast to the decay threshold, only a little affected by protonation. We also  compare the impact of electron correlation effects on the ionization and double-ionization spectra  of the series of fluorinated carbanions and of their acids.","","","",""
7,"","Santra02","Santra, R. & Cederbaum, L. S.","Non-Hermitian electronic theory and applications to clusters","Phys. Rep.",368,,"","1",2002,"","theory","","","","","","","Elsevier","","","","","","","Electronically excited cations, generated by inner-valence ionization of small molecules,  relax in general by dissociation and photon emission. Autoionization is forbidden for energetic  reasons. The situation changes fundamentally in an inner-valence ionized cluster, which releases  its excess energy by emitting an electron. This novel process, referred to as Intermolecular  Coulombic Decay, is characterized by an efficient energy transfer between monomers in the cluster.  The decay is ultrafast, taking place on a femtosecond time scale. Theoretical tools are developed  to predict the properties, in particular lifetimes, of molecular systems undergoing electronic  decay. These methods are applied to study the relaxation of inner-valence holes in clusters.  In order to enable a treatment of the scattering and the many-particle problem with standard  electronic correlation methods for bound states, a complex absorbing potential is added to the  Hamiltonian. Conceptual as well as practical aspects of this procedure are discussed in detail.","","","",""
7,"","Buth03","Buth, Ch.; Santra, R. & Cederbaum, L. S.","Impact of interatomic electronic decay processes on Xe 4<em>d</em> hole decay in the xenon fluorides","J. Chem. Phys.",119,,"","10575",2003,"","theory","","","","","","","AIP","","","","","","","A hole in a 4<em>d</em> orbital of atomic xenon relaxes through Auger decay after a lifetime of 3 fs. Adding electronegative fluorine ligands to form xenon fluoride molecules, results in withdrawal of valence-electron density from Xe. Thus, within the one-center picture of Auger decay, a lowered Xe 4<em>d</em> Auger width would be expected, in contradiction, however, with experiment. Employing extensive <em>ab initio</em> calculations within the framework of many-body Green's functions, we determine all available decay channels in XeF<sub>n</sub> and characterize these channels by means of a two-hole population analysis. We derive a relation between two-hole population numbers and partial Auger widths. On this basis, interatomic electronic decay processes are demonstrated to be so strong in the xenon fluorides that they overcompensate the reduction in intra-atomic Auger width and lead to the experimentally observed trend. The nature of the relevant processes is discussed. These processes presumably underlie Auger decay in a variety of systems.","","","",""
7,"","Scheit03","Scheit, S.; Cederbaum, L. S. & Meyer, H.-D.","Time-dependent interplay between electron emission and fragmentation in the interatomic Coulombic decay","J. Chem. Phys.",118,,"","2092",2003,"","theory","","","","","","","AIP","","","","","","","The electronic decay of the Ne<sub>2</sub><sup>+</sup> cation by electron emission is studied.  This interatomic Coulombic decay (ICD) follows inner valence ionization of the neon dimer and the decay rate depends strongly on the internuclear distance. The time-dependent theory of wave packet propagation is applied allowing to follow the evolution of the decay process in time.  The impact of nuclear dynamics on the decay spectrum is investigated. Among others, the spectrum corresponding to the decay of the 2<sup>2</sup>&Sigma;<sub>u</sub><sup>+</sup> electronic state of  the Ne<sub>2</sub><sup>+</sup> cation is calculated at different times. Its characteristics are found to be influenced considerably by the nuclear motion. A pronounced oscillatory structure appears: Its origin is explained and related to  the interatomic nature of the ICD process. Particularly enlightening for the understanding of the  ICD process is the analysis of the total energy distribution in the final system resulting after  the fragmentation of the Ne<sub>2</sub><sup>2+</sup> dication, produced by the ICD of Ne<sub>2</sub><sup>+</sup>.","","","",""
7,"","Santra03","Santra, R. & Cederbaum, L. S.","Coulombic Energy Transfer and Triple Ionization in Clusters","Phys. Rev. Lett.",90,,"","153401",2003,"","theory","","","","","","","American Physical Society","","","","","","","Using neon and its dimer as a specific example, it is shown that excited Auger decay channels that are electronically stable in the isolated monomer can relax in a cluster by electron emission. The decay mechanism, leading to the formation of a tricationic cluster, is based on an efficient energy-transfer process from the excited, dicationic monomer to a neighbor. The decay is ultrafast and expected to be relevant to numerous physical phenomena involving core holes in clusters and other forms of spatially extended atomic and molecular matter.","","","",""
7,"","Scheit04","Scheit, S.; Averbukh, V.; Meyer, H.-D.; Moiseyev, N.; Santra, R.; Sommerfeld, T.; Zobeley, J. & Cederbaum, L. S.","On the interatomic Coulombic decay in the Ne dimer","J. Chem. Phys.",121,,"","8393",2004,"","theory","","","","","","","AIP","","","","","","","The interatomic Coulombic decay (ICD) in the Ne dimer is discussed in view of the recent experimental results. The ICD electron spectrum and the kinetic energy release of the Ne<sup>+</sup> fragments resulting after Coulomb explosion of Ne<sub>2</sub><sup>2+</sup> are  computed and compared to the measured ones. A very good agreement is found, confirming the dynamics predicted for this decay mechanism. The effect of the temperature on the electron spectrum is briefly investigated.","","","",""
7,"","Averbukh04","Averbukh, V.; Müller, I. B. & Cederbaum, L. S.","Mechanism of Interatomic Coulombic Decay in Clusters","Phys. Rev. Lett.",93,,"","263002",2004,"","theory","","","","","","","American Physical Society","","","","","","","Interatomic (or intermolecular) Coulombic decay is a general, very efficient mode  of decay of inner valence vacancies in clusters. The physically appealing interpretation of such  decays as a transfer of a virtual photon between two cluster units rests on the neglect of the  orbital overlap between them. We show that even in loosely bound van der Waals clusters the orbital  overlap is a crucial factor. At the equilibrium geometry of a cluster, the overlap effect can bring  about an enhancement of the decay rate by 2-3 orders of magnitude, making the process dramatically  more efficient than implied by the simple estimations.","","","",""
7,"","Gokhberg05","Gokhberg, K.; Trofimov, A. B.; Sommerfeld, T. & Cederbaum, L. S.","Ionization of metal atoms following valence-excitation of neighbouring molecules","Europhys. Lett.",72,,"","228",2005,"","theory","","","","","","","IOP","","","","","","","A new relaxation pathway of optically allowed valence-excitations in molecules bound  to metal atoms was investigated. We show that the &sigma;<sub>non</sub>&pi;<sup>*</sup> excitation  of HCN in Mg<sub>n</sub>HCN (n=1,2) clusters decays through the emission of an electron from the  metallic component. The calculated lifetimes are of the order of 140 fs for MgHCN and 25 fs for  Mg<sub>2</sub>HCN. These short lifetimes suggest that the relaxation mechanism discussed here should  dominate for molecules adsorbed on metal clusters or surfaces. We find that at large distances this  decay is dominated by energy transfer.","","","",""
7,"","Deleuze05","Deleuze, M. S.; Francois, J.-P. & Kryachko, E. S.","The Fate of Dicationic States in Molecular Clusters of Benzene and Related Compounds","J. Am. Chem. Soc.",127,,"","16824",2005,"","theory","","","","","","","American Chemical Society","","","","","","","Calculations employing density functional theory indicate that, rather than undergoing  fragmentation, dicationic clusters of benzene, hexafluorobenzene, and naphthalene produced by  sequential one-electron or sudden double-ionization experiments on the neutrals can relax via  the formation of inter-ring covalent C-C bonds, along with a series of proton transfers that  enable a substantial reduction of inter- and intramolecular Coulomb repulsions. The theoretically  predicted chemically bound structures correspond to deep local energy minima on the potential energy surface pertaining to the lowest electronic state of the dications and can therefore be regarded  as metastable (kinetically long-lived) species. This discovery invalidates on theoretical grounds  the liquid-droplet model of multiply charged clusters and sheds very unexpected light on possible  consequences in chemistry of the intermolecular Coulombic decay (ICD) mechanism  [Cederbaum, L. S.; et al. Phys. Rev. Lett. 1997, <b>79</b>, 4778;  Jahnke, T.; et al. Phys. Rev. Lett. 2004, <b>93</b>, 163401] for deep inner-valence ionized states.  Propagation of charge rearrangement reactions and proton transfers to several monomers may  eventually lead to the formation of rather extended dicationic assemblies.","","","",""
7,"","Averbukh05","Averbukh, V. & Cederbaum, L. S.","<em>Ab initio</em> calculation of interatomic decay rates by a combination of the Fano ansatz, Green's-function methods, and the Stieltjes imaging technique","J. Chem. Phys.",123,,"","204107",2005,"","theory","","","","","","","AIP","","","","","","","A new computational technique is introduced for the <em>ab initio</em> calculation of the  rates of interatomic and intermolecular nonradiative decay processes occurring due to electronic  correlation. These recently discovered phenomena are described theoretically using the  configuration-interaction formalism first introduced by Fano [Phys. Rev. <b>124</b>, 1866 (1961)]  and later adapted to an Auger decay by Howat et al. [J. Phys. B <b>11</b>, 1575 (1978)]. The boundlike  and the continuumlike components of the wave function of the decaying state are constructed using  a Green's-function method known as algebraic diagrammatic construction. A combination of atomic  and distributed Gaussian basis sets is shown to provide an adequate description of both boundlike  and continuumlike wave-function components. The problem of the normalization of the continuum  (final state) wave function is addressed using the Stieltjes imaging technique. The new method  is applied to the calculation of the rates of interatomic decay in alkaline-earth-rare-gas clusters.  The obtained results help to verify our earlier conclusions [Phys. Rev. Lett. <b>93</b>, 263002 (2004)]  regarding the validity of the virtual-photon transfer model for the interatomic Coulombic decay.  In addition, we demonstrate that the process of electron-transfer-mediated decay is responsible  for the finite lifetimes of the outer valence vacancies in alkaline-earth-rare-gas clusters.","","","",""
7,"","Mueller05","Müller, I. B. & Cederbaum, L. S.","Electronic decay following ionization of aqueous Li<sup>+</sup> microsolvation clusters","J. Chem. Phys.",122,,"","094305",2005,"","theory","","","","","","","AIP","","","","","","","Ionization in the energetical range between 35 eV and 75 eV of aqueous Li<sup>+</sup>  microsolvation clusters may initialize several different electronic decay processes. Electronic  decay following H<sub>2</sub>O 2<em>s</em> ionization in a cationic cluster is reported. Li ionization probes the  efficiency of electron transfer mediated decay (ETMD) processes. We report estimated ETMD lifetimes  in the range of 20-100 fs for clusters with one to five water monomers. Furthermore, tertiary  electron emission may occur via a combined cascade of electron transfer mediated decay and  intermolecular Coulombic decay.","","","",""
3,"","Scheit05","Scheit, S.; Meyer, H.-D. & Cederbaum, L. S.","The interatomic Coulombic decay in Ne<sub>2</sub>","J. Phys.: Conf. Ser.",4,,"","277",2005,"","theory","","","","","The 6th International Conference on Dissociative Recombination: (DR2004)","Wolf, A.; Lammich, L. & Schmelcher, P","IOP","","","","","","","The Interatomic Coulomb Decay (ICD) is a radiationless decay mechanism occurring  via electron emission in inner valence ionized weakly bound clusters. In this article the  theoretical description of the ICD in the inner valence ionized Ne dimer is presented, using  a time-dependent formalism based on nuclear wave packet propagation. The theoretical predictions  are compared with the first experimental results, and a very good agreement is found.","","","",""
7,"","Santra05","Santra, R. & Cederbaum, L. S.","Erratum: Coulombic Energy Transfer and Triple Ionization in Clusters [Phys. Rev. Lett. 90,153401(2003)]","Phys. Rev. Lett.",94,,"","199901",2005,"","theory","","","","","","","American Physical Society","","","","","","","","","","",""
7,"","Averbukh06_1","Averbukh, V. & Cederbaum, L. S.","Calculation of interatomic decay widths of vacancy states delocalized due to inversion symmetry","J. Chem. Phys.",125,,"","094107",2006,"","theory","","","","","","","AIP","","","","","","","In a recent publication [J. Chem. Phys. <b>123</b>, 204107 (2005)], we have introduced a  new <em>ab initio</em> approach for the calculation of the widths of interatomic electronic decay of  inner-shell vacancies in clusters. The new technique is based on the configuration interaction  formalism first introduced for the description of resonance states by Fano [Phys. Rev. <b>124</b>,  1866 (1961)] and on a Green function method for the description of the many-electron states involved  in the electronic decay. Central to the new method is the selection of the physical excitation  operators for the construction of the initial and final states of the interatomic decay. The  previously described selection procedure has been formulated for localized vacancy states and runs  into difficulties when applied to the decay of vacancy states delocalized due to inversion symmetry,  e.g., (2<em>s</em><sup>-1</sup>) <sup>2</sup>&Sigma;<sub>g,u</sub><sup>+</sup> states of  Ne<sub>2</sub><sup>+</sup>. Here we present a modified computational scheme  suitable for interatomic decay of the energy-split gerade and ungerade states and apply it to  the interatomic Coulombic decay in two homonuclear diatomic clusters: Ne<sub>2</sub> and Ca<sub>2</sub>","","","",""
7,"","Gokhberg06","Gokhberg, K.; Averbukh, V. & Cederbaum, L. S.","Interatomic decay of inner-valence-excited states in clusters","J. Chem. Phys.",124,,"","144315",2006,"","theory","","","","","","","AIP","","","","","","","In an isolated atom, excitation of an inner valence electron above the outer valence  subshell leads to creation of an autoionizing state. Recently, it has been demonstrated  experimentally that in a cluster, the inner-valence-excited states can decay also by an  interatomic mechanism which has been called resonant interatomic Coulombic decay (RICD). Here we  show that RICD is indeed the leading but not the only possible interatomic decay mode of the  inner-valence excitations in clusters. Using Ne(2<em>s</em>&rarr;3<em>p</em>) excitation in MgNe  cluster as an example,  we explore the possible decay mechanisms and draw conclusions on their relative importance and  on the nature of the corresponding decay products.","","","",""
7,"","Mueller06","Müller, I. B. & Cederbaum, L. S.","Ionization and double ionization of small water clusters","J. Chem. Phys.",125,,"","204305",2006,"","theory","","","","","","","AIP","","","","","","","The valence ionization and double ionization spectra of the water molecule, of the  water dimer, and the cyclic water clusters (H<sub>2</sub>O)<sub>3</sub> and (H<sub>2</sub>O)<sub>4</sub>  are calculated by <em>ab initio</em>  Green's function methods and discussed in some detail. Particular attention is paid to the  analysis of the development of the spectra with increasing cluster size. Electronic decay  following inner valence ionization is addressed and a crude estimate for the kinetic energy  spectrum of the secondary electrons is given for the clusters.","","","",""
7,"","Pernpointner06","Pernpointner, M.; Knecht, S. & Cederbaum, L. S.","Ionization spectra and electronic decay in small iodide clusters: Fully relativistic results","J. Chem. Phys.",125,,"","034309",2006,"","theory","","","","","","","AIP","","","","","","","Singly ionized systems in high-lying energetic final states can stabilize themselves  via various electronic decay mechanisms. With increasing system size interatomic and intermolecular  processes dominate over intra-atomic (Auger) decay channels. For the small (HI)<sub>2</sub> and (LiI)<sub>2</sub>  clusters fully relativistic ionization spectra are calculated and the subsequent electronic decay  of the cations is investigated. Due to the presence of the iodine atom a fully relativistic  description is mandatory and was performed by the algebraic diagrammatic construction technique in  its four-component form. The lifetimes of the singly ionized final states are estimated by the  application of Weisskopf-Wigner [Z. Phys. <b>63</b>, 54 (1930)] theory.","","","",""
7,"","Scheit06","Scheit, S.; Averbukh, V.; Meyer, H.-D.; Zobeley, J. & Cederbaum, L. S.","Interatomic Coulombic decay in a heteroatomic rare gas cluster","J. Chem. Phys.",124,,"","154305",2006,"","theory","","","","","","","AIP","","","","","","","Interatomic decay in a heteroatomic rare gas cluster (NeAr) is studied in detail  using <em>ab initio</em> electronic structure description and nuclear dynamics simulations. Decay widths  of all possible interatomic decay processes are calculated by the recently developed method based  on Green's function formalism. Kinetic energy spectra of the electrons emitted in the course of  interatomic Coulombic decay (ICD) are simulated for a series of initial vibrational states of the  neutral cluster. The effect of the nuclear dynamics on the ICD electron spectra is discussed.","","","",""
7,"","Averbukh06_2","Averbukh, V. & Cederbaum, L. S.","Interatomic Electronic Decay in Endohedral Fullerenes","Phys. Rev. Lett.",96,,"","053401",2006,"","theory","","","","","","","American Physical Society","","","","","","","Ionization of an atom X in an endohedral fullerene complex X@C<sub>n</sub> can lead to a wealth  of nonradiative decay processes. These interatomic processes occur due to the correlation existing  between the atomic and the fullerene electrons and do not take place in the free species X.  Considering Ne@C<sub>60</sub> as an example, we calculate the rates of the interatomic decay processes and  show that the interatomic decay in Ne@C<sub>60</sub> is ultrafast. Moreover, our analysis suggests that  interatomic decay in an endohedral fullerene does not necessarily lead to the destruction of the  complex.","","","",""
3,"","Averbukh07","Averbukh, V. & Cederbaum, L. S.","Interatomic (Intermolecular) Decay Processes in Clusters: Current Status and Outlook","AIP Conf. Proc.",963,,"","39",2007,"","theory","","","","","the International Conference on Computational Methods in Science and 
Engineering (ICCMSE 2007)","Maroulis, G. & Simos, T. E.","AIP","","","","","","","Since their theoretical prediction a decade ago, interatomic (intermolecular) Coulombic decay (ICD) and related processes have been in the focus of intensive theoretical and experimental research. The spectacular progress in this direction has been stimulated both by the fundamental importance of the new electronic decay phenomena and by the exciting possibility of their practical application, for example in spectroscopy. We review the current status of the research of interatomic (intermolecular) decay phenomena in clusters and discuss some perspectives of this new field.","","","",""
7,"","Pernpointner07","Pernpointner, M. & Cederbaum, L. S.","PtF<sub>6</sub><sup>2-</sup> dianion and its detachment spectrum: A fully relativistic study","J. Chem. Phys.",126,,"","144310",2007,"","theory","","","","","","","AIP","","","","","","","In this work we calculate the photoelectron spectrum of the PtF<sub>6</sub><sup>2-</sup> dianion by  application of the third-order Dirac-Hartree-Fock one-particle propagator technique. Relativistic  effects and electron correlation are hereby treated on a consistent theoretical basis which is  mandatory for systems containing heavy elements. A PtF<sub>6</sub><sup>2-</sup> gas phase photoelectron spectrum is  not yet available and our calculations therefore have predictive character. As it is characteristic  for dianionic systems a strong dependence on basis set size and molecular geometry is observed.  In contrast to the already calculated PtCl<sub>6</sub><sup>2-</sup> photoelectron spectrum no valence orbital  inversion due to strong interplay of spin-orbit coupling and electron correlation is observed.  Furthermore an unusually strong spin-orbit splitting was found for the &sigma;-type subvalence  1<em>t</em><sub>1u</sub>  molecular spinor despite its very small platinum <em>p</em> population. The double ionization threshold is  strongly lowered by relativistic effects now enabling an interatomic Coulombic decay process after  ionization from the &sigma;-bonding orbitals. The results stress the importance of spin-orbit coupling for the understanding of the spectral structure which cannot be reproduced by a scalar-relativistic  treatment only.","","","",""
